ZoneID0,AgeID,NumChildID,Val
101000,1,0,65
101000,1,1,20529
101000,1,2,26694
101000,1,3,9030
101000,2,0,135
101000,2,1,7743
101000,2,2,19736
101000,2,3,11268
101000,3,0,295
101000,3,1,4304
101000,3,2,7107
101000,3,3,3929
101000,4,0,58558
101000,4,1,8596
101000,4,2,6825
101000,4,3,3716
101000,5,0,84732
101000,5,1,5542
101000,5,2,1353
101000,5,3,174
101000,6,0,128134
101000,6,1,51158
101000,6,2,49527
101000,6,3,14733
101000,7,0,49537
101000,7,1,7710
101000,7,2,2699
101000,7,3,702
101000,8,0,38380
101000,8,1,597
101000,8,2,168
101000,8,3,46
101000,9,0,23701
101000,9,1,60
101000,9,2,16
101000,9,3,5
101000,10,0,6157
147000,1,0,5
147000,1,1,3047
147000,1,2,4138
147000,1,3,1316
147000,2,0,25
147000,2,1,1363
147000,2,2,3447
147000,2,3,1586
147000,3,0,73
147000,3,1,777
147000,3,2,1323
147000,3,3,580
147000,4,0,7862
147000,4,1,1503
147000,4,2,1235
147000,4,3,508
147000,5,0,10396
147000,5,1,666
147000,5,2,141
147000,5,3,12
147000,6,0,16028
147000,6,1,8292
147000,6,2,8325
147000,6,3,2216
147000,7,0,9287
147000,7,1,1551
147000,7,2,588
147000,7,3,98
147000,8,0,8505
147000,8,1,118
147000,8,2,35
147000,8,3,6
147000,9,0,7310
147000,9,1,20
147000,9,2,2
147000,10,0,2280
151000,1,0,15
151000,1,1,1101
151000,1,2,2503
151000,1,3,1043
151000,2,0,16
151000,2,1,662
151000,2,2,2160
151000,2,3,1230
151000,3,0,24
151000,3,1,422
151000,3,2,844
151000,3,3,457
151000,4,0,1470
151000,4,1,1087
151000,4,2,947
151000,4,3,445
151000,5,0,2127
151000,5,1,407
151000,5,2,258
151000,5,3,34
151000,6,0,5194
151000,6,1,3692
151000,6,2,5296
151000,6,3,1748
151000,7,0,5483
151000,7,1,884
151000,7,2,269
151000,7,3,43
151000,8,0,4438
151000,8,1,40
151000,8,2,10
151000,8,3,2
151000,9,0,4238
151000,9,1,3
151000,10,0,1446
153000,1,0,5
153000,1,1,858
153000,1,2,1641
153000,1,3,969
153000,2,0,16
153000,2,1,416
153000,2,2,1370
153000,2,3,1102
153000,3,0,20
153000,3,1,305
153000,3,2,540
153000,3,3,392
153000,4,0,1305
153000,4,1,727
153000,4,2,636
153000,4,3,434
153000,5,0,1933
153000,5,1,398
153000,5,2,187
153000,5,3,32
153000,6,0,4685
153000,6,1,2573
153000,6,2,3379
153000,6,3,1542
153000,7,0,3909
153000,7,1,562
153000,7,2,180
153000,7,3,49
153000,8,0,3543
153000,8,1,35
153000,8,2,10
153000,8,3,1
153000,9,0,2487
153000,9,1,5
153000,9,2,2
153000,10,0,879
155000,1,0,1
155000,1,1,281
155000,1,2,805
155000,1,3,312
155000,2,0,2
155000,2,1,186
155000,2,2,820
155000,2,3,396
155000,3,0,4
155000,3,1,120
155000,3,2,309
155000,3,3,147
155000,4,0,96
155000,4,1,266
155000,4,2,266
155000,4,3,77
155000,5,0,190
155000,5,1,60
155000,5,2,25
155000,5,3,5
155000,6,0,948
155000,6,1,1078
155000,6,2,1913
155000,6,3,560
155000,7,0,1667
155000,7,1,286
155000,7,2,115
155000,7,3,14
155000,8,0,1707
155000,8,1,19
155000,8,2,9
155000,8,3,1
155000,9,0,1455
155000,9,2,2
155000,10,0,467
157000,1,0,9
157000,1,1,1212
157000,1,2,3365
157000,1,3,1649
157000,2,0,23
157000,2,1,902
157000,2,2,3746
157000,2,3,2350
157000,3,0,49
157000,3,1,650
157000,3,2,1739
157000,3,3,852
157000,4,0,1799
157000,4,1,1407
157000,4,2,1533
157000,4,3,622
157000,5,0,2880
157000,5,1,222
157000,5,2,70
157000,5,3,11
157000,6,0,6917
157000,6,1,4482
157000,6,2,8562
157000,6,3,3143
157000,7,0,7721
157000,7,1,1901
157000,7,2,899
157000,7,3,155
157000,8,0,7477
157000,8,1,143
157000,8,2,41
157000,8,3,7
157000,9,0,6218
157000,9,1,17
157000,9,2,2
157000,9,3,2
157000,10,0,2061
159000,1,0,11
159000,1,1,1646
159000,1,2,3565
159000,1,3,1531
159000,2,0,12
159000,2,1,931
159000,2,2,3252
159000,2,3,2018
159000,3,0,60
159000,3,1,597
159000,3,2,1242
159000,3,3,753
159000,4,0,2706
159000,4,1,1274
159000,4,2,1230
159000,4,3,650
159000,5,0,3706
159000,5,1,542
159000,5,2,233
159000,5,3,31
159000,6,0,7861
159000,6,1,5190
159000,6,2,7756
159000,6,3,2737
159000,7,0,6846
159000,7,1,1172
159000,7,2,432
159000,7,3,113
159000,8,0,6078
159000,8,1,76
159000,8,2,16
159000,8,3,5
159000,9,0,4138
159000,9,1,2
159000,9,2,1
159000,10,0,1587
161000,1,0,9
161000,1,1,614
161000,1,2,1150
161000,1,3,419
161000,2,0,5
161000,2,1,292
161000,2,2,910
161000,2,3,518
161000,3,0,4
161000,3,1,181
161000,3,2,409
161000,3,3,157
161000,4,0,850
161000,4,1,464
161000,4,2,381
161000,4,3,180
161000,5,0,1292
161000,5,1,245
161000,5,2,106
161000,5,3,9
161000,6,0,3144
