ZoneID0,AgeID,IncomeID,Val
151000,8,1,135
151000,8,2,1468
151000,8,3,1548
151000,8,4,719
151000,8,5,311
151000,8,6,122
151000,8,7,62
151000,8,8,26
151000,8,9,22
151000,8,10,20
151000,9,0,34
151000,9,1,85
151000,9,2,1985
151000,9,3,1350
151000,9,4,566
151000,9,5,143
151000,9,6,42
151000,9,7,16
151000,9,8,9
151000,9,9,5
151000,9,10,6
151000,10,0,12
151000,10,1,29
151000,10,2,677
151000,10,3,460
151000,10,4,193
151000,10,5,49
151000,10,6,15
151000,10,7,5
151000,10,8,3
151000,10,9,2
151000,10,10,2
153000,1,0,3473
153000,1,1,0
153000,1,2,0
153000,1,3,0
153000,1,4,0
153000,1,5,0
153000,1,6,0
153000,1,7,0
153000,1,8,0
153000,1,9,0
153000,1,10,0
153000,2,0,2904
153000,2,1,0
153000,2,2,0
153000,2,3,0
153000,2,4,0
153000,2,5,0
153000,2,6,0
153000,2,7,0
153000,2,8,0
153000,2,9,0
153000,2,10,0
153000,3,0,412
153000,3,1,845
153000,3,2,0
153000,3,3,0
153000,3,4,0
153000,3,5,0
153000,3,6,0
153000,3,7,0
153000,3,8,0
153000,3,9,0
153000,3,10,0
153000,4,0,0
153000,4,1,1521
153000,4,2,1066
153000,4,3,426
153000,4,4,74
153000,4,5,15
153000,4,6,0
153000,4,7,0
153000,4,8,0
153000,4,9,0
153000,4,10,0
153000,5,0,145
153000,5,1,302
153000,5,2,724
153000,5,3,826
153000,5,4,392
153000,5,5,120
153000,5,6,31
153000,5,7,10
153000,5,8,0
153000,5,9,0
153000,5,10,0
153000,6,0,609
153000,6,1,647
153000,6,2,2269
153000,6,3,3849
153000,6,4,2585
153000,6,5,1190
153000,6,6,508
153000,6,7,207
153000,6,8,138
153000,6,9,106
153000,6,10,71
153000,7,0,154
153000,7,1,176
153000,7,2,980
153000,7,3,1553
153000,7,4,1017
153000,7,5,445
153000,7,6,179
153000,7,7,93
153000,7,8,32
153000,7,9,44
153000,7,10,27
153000,8,0,46
153000,8,1,123
153000,8,2,1400
153000,8,3,1218
153000,8,4,488
153000,8,5,171
153000,8,6,75
153000,8,7,20
153000,8,8,15
153000,8,9,20
153000,8,10,13
153000,9,0,31
153000,9,1,67
153000,9,2,1202
153000,9,3,804
153000,9,4,283
153000,9,5,67
153000,9,6,27
153000,9,7,8
153000,9,8,0
153000,9,9,4
153000,9,10,0
153000,10,0,11
153000,10,1,24
153000,10,2,424
153000,10,3,284
153000,10,4,100
153000,10,5,24
153000,10,6,9
153000,10,7,3
153000,10,8,0
153000,10,9,2
